"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "XML", "Rust", "Skill", "PostCSS", "HTML", "JSON Lines", "Svelte", "comment", "blank", "total"
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/semantic/index.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 44
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/semantic/index.meta.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/skills/svelte-code-writer/SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 24, 67
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/skills/svelte-core-bestpractices/SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 4, 60, 177
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/skills/svelte-core-bestpractices/references/$inspect.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 54
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/skills/svelte-core-bestpractices/references/@attach.md", "Markdown", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43, 167
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/skills/svelte-core-bestpractices/references/@render.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/skills/svelte-core-bestpractices/references/await-expressions.md", "Markdown", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55, 181
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/skills/svelte-core-bestpractices/references/bind.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/home/xiaxiaobai/project/minecraft_modpack_creater/.reasonix/skills/svelte-core-bestpractices/references/each.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 43
